,contig,position,BE_166,DK_229,DK_267,BE_166_average,DK_229_average,DK_267_average
34684215,NC_063032.1,2673495,31,24,87,30.4,23.3,87.2
34684216,NC_063032.1,2673496,31,24,88,30.5,23.5,87.2
34684217,NC_063032.1,2673497,31,24,89,30.6,23.7,87.2
34684218,NC_063032.1,2673498,31,24,88,30.7,23.9,87.2
34684219,NC_063032.1,2673499,28,20,75,30.7,23.9,87.2
34684220,NC_063032.1,2673500,31,25,89,30.7,23.9,87.0
34684221,NC_063032.1,2673501,31,25,89,30.6,23.8,87.1
34684222,NC_063032.1,2673502,31,25,89,30.6,23.7,87.2
34684223,NC_063032.1,2673503,31,24,89,30.5,23.6,87.3
34684224,NC_063032.1,2673504,31,24,87,30.3,23.5,86.7
34684225,NC_063032.1,2673505,30,23,88,30.5,23.8,88.2
34684226,NC_063032.1,2673506,31,23,89,30.5,23.6,88.2
34684227,NC_063032.1,2673507,30,23,90,30.4,23.4,88.1
34684228,NC_063032.1,2673508,29,23,82,30.0,22.8,87.5
34684229,NC_063032.1,2673509,30,23,90,29.6,22.4,87.4
34684230,NC_063032.1,2673510,31,23,89,29.2,22.0,87.6
34684231,NC_063032.1,2673511,30,23,88,28.9,21.7,87.4
34684232,NC_063032.1,2673512,27,19,83,28.5,21.4,87.0
34684233,NC_063032.1,2673513,27,20,88,28.2,21.1,85.8
34684234,NC_063032.1,2673514,27,20,89,27.9,20.8,86.3
34684235,NC_063032.1,2673515,27,20,86,27.6,20.5,86.1
34684236,NC_063032.1,2673516,27,20,85,27.2,20.2,85.9
34684237,NC_063032.1,2673517,27,20,78,26.9,19.8,85.8
34684238,NC_063032.1,2673518,26,20,87,26.6,19.6,85.0
34684239,NC_063032.1,2673519,27,20,88,26.5,19.5,85.0
34684240,NC_063032.1,2673520,27,20,87,26.4,19.4,85.0
34684241,NC_063032.1,2673521,27,19,87,26.3,19.3,85.3
34684242,NC_063032.1,2673522,24,17,75,26.2,19.2,85.7
34684243,NC_063032.1,2673523,26,19,88,26.1,19.1,86.6
34684244,NC_063032.1,2673524,26,19,89,26.1,19.0,86.9
34684245,NC_063032.1,2673525,26,19,89,26.0,18.9,87.2
34684246,NC_063032.1,2673526,26,19,89,25.9,18.8,87.7
34684247,NC_063032.1,2673527,26,19,87,25.8,18.8,88.1
34684248,NC_063032.1,2673528,26,19,90,26.0,19.0,89.7
34684249,NC_063032.1,2673529,26,19,91,26.0,18.9,90.1
34684250,NC_063032.1,2673530,26,19,92,26.0,18.8,90.4
34684251,NC_063032.1,2673531,26,19,91,26.0,18.7,90.7
34684252,NC_063032.1,2673532,26,19,91,26.0,18.6,91.1
34684253,NC_063032.1,2673533,26,18,92,26.0,18.5,91.7
34684254,NC_063032.1,2673534,26,18,92,26.0,18.4,92.1
34684255,NC_063032.1,2673535,26,18,92,26.0,18.2,92.4
34684256,NC_063032.1,2673536,26,18,93,25.9,18.0,92.7
34684257,NC_063032.1,2673537,26,18,93,25.9,17.8,93.0
34684258,NC_063032.1,2673538,26,18,94,25.9,17.6,93.4
34684259,NC_063032.1,2673539,26,17,94,25.9,17.5,93.8
34684260,NC_063032.1,2673540,25,17,95,25.6,17.5,94.0
34684261,NC_063032.1,2673541,26,17,94,25.5,17.5,94.1
34684262,NC_063032.1,2673542,26,17,95,25.5,17.5,94.3
34684263,NC_063032.1,2673543,26,17,96,25.5,17.5,94.5
34684264,NC_063032.1,2673544,23,18,94,25.5,17.4,94.2
34684265,NC_063032.1,2673545,25,18,93,25.5,17.5,94.0
34684266,NC_063032.1,2673546,26,18,95,25.6,17.6,93.8
34684267,NC_063032.1,2673547,26,18,95,25.6,17.7,93.7
34684268,NC_063032.1,2673548,26,17,91,25.5,17.8,93.5
34684269,NC_063032.1,2673549,26,18,92,25.4,17.8,93.1
34684270,NC_063032.1,2673550,26,18,93,25.6,17.5,92.3
34684271,NC_063032.1,2673551,26,18,93,24.0,16.7,86.2
34684272,NC_063032.1,2673552,25,18,93,22.5,15.9,80.6
34684273,NC_063032.1,2673553,25,17,92,21.5,15.3,76.8
34684274,NC_063032.1,2673554,25,15,86,20.8,14.7,74.4
34684275,NC_063032.1,2673555,9,10,32,20.6,14.1,72.3
34684276,NC_063032.1,2673556,11,10,39,20.4,13.8,70.8
34684277,NC_063032.1,2673557,16,12,57,20.2,13.6,69.4
34684278,NC_063032.1,2673558,19,11,67,20.0,13.4,68.0
34684279,NC_063032.1,2673559,24,12,71,19.8,13.5,66.7
34684280,NC_063032.1,2673560,24,15,78,19.5,13.9,66.1
34684281,NC_063032.1,2673561,24,16,79,20.9,14.8,71.0
34684282,NC_063032.1,2673562,23,16,79,22.1,15.7,75.2
34684283,NC_063032.1,2673563,23,18,79,22.8,16.4,77.6
34684284,NC_063032.1,2673564,22,19,80,23.2,17.2,78.9
34684285,NC_063032.1,2673565,23,19,81,23.1,18.0,80.0
34684286,NC_063032.1,2673566,23,19,81,23.0,18.5,80.4
34684287,NC_063032.1,2673567,23,19,81,22.9,18.9,80.5
34684288,NC_063032.1,2673568,23,19,80,22.9,19.3,81.0
34684289,NC_063032.1,2673569,23,20,82,22.9,19.6,81.3
34684290,NC_063032.1,2673570,23,20,82,23.1,19.8,81.6
34684291,NC_063032.1,2673571,23,20,80,23.2,20.0,81.7
34684292,NC_063032.1,2673572,23,20,84,23.3,20.3,81.6
34684293,NC_063032.1,2673573,23,21,82,23.3,20.7,81.7
34684294,NC_063032.1,2673574,24,21,83,23.4,21.1,81.9
34684295,NC_063032.1,2673575,24,21,82,23.5,21.4,82.0
34684296,NC_063032.1,2673576,24,22,80,23.6,21.7,82.1
34684297,NC_063032.1,2673577,23,23,82,23.7,21.9,82.3
34684298,NC_063032.1,2673578,24,23,82,23.8,22.1,82.2
34684299,NC_063032.1,2673579,24,23,83,23.8,22.2,82.1
34684300,NC_063032.1,2673580,24,23,83,23.8,22.3,81.9
34684301,NC_063032.1,2673581,24,22,82,23.8,22.5,82.0
34684302,NC_063032.1,2673582,24,22,83,23.7,22.6,82.3
34684303,NC_063032.1,2673583,23,22,81,23.7,22.6,82.5
34684304,NC_063032.1,2673584,24,22,81,23.6,22.6,82.6
34684305,NC_063032.1,2673585,24,23,83,23.5,22.6,82.7
34684306,NC_063032.1,2673586,23,23,83,23.4,22.5,82.4
34684307,NC_063032.1,2673587,23,23,84,23.3,22.5,82.5
34684308,NC_063032.1,2673588,23,23,83,23.2,22.5,82.2
34684309,NC_063032.1,2673589,23,23,84,23.2,22.5,81.9
34684310,NC_063032.1,2673590,23,22,80,23.1,22.5,82.3
34684311,NC_063032.1,2673591,23,22,83,23.0,22.4,82.5
34684312,NC_063032.1,2673592,23,22,80,23.1,22.2,82.5
34684313,NC_063032.1,2673593,23,22,78,23.2,22.1,82.7
34684314,NC_063032.1,2673594,23,22,85,23.3,22.0,83.0
34684315,NC_063032.1,2673595,23,22,85,23.4,22.0,83.2
34684316,NC_063032.1,2673596,24,21,83,23.3,22.0,83.0
34684317,NC_063032.1,2673597,24,22,86,23.4,22.0,83.0
34684318,NC_063032.1,2673598,24,22,86,23.5,22.1,83.4
34684319,NC_063032.1,2673599,24,23,86,23.6,22.2,83.9
34684320,NC_063032.1,2673600,22,22,78,23.7,22.3,83.8
34684321,NC_063032.1,2673601,24,22,83,23.7,22.4,83.6
34684322,NC_063032.1,2673602,24,23,84,23.6,22.6,83.7
34684323,NC_063032.1,2673603,24,23,83,23.7,22.7,83.7
34684324,NC_063032.1,2673604,24,23,84,23.8,22.8,83.6
34684325,NC_063032.1,2673605,23,23,83,23.9,22.8,83.7
34684326,NC_063032.1,2673606,23,23,84,24.2,22.9,84.6
34684327,NC_063032.1,2673607,25,23,86,24.3,23.0,85.0
34684328,NC_063032.1,2673608,25,23,85,24.3,23.0,85.3
34684329,NC_063032.1,2673609,25,23,87,24.3,22.9,85.3
34684330,NC_063032.1,2673610,25,23,87,24.1,22.8,85.1
34684331,NC_063032.1,2673611,25,23,87,23.9,22.6,85.0
34684332,NC_063032.1,2673612,24,23,87,23.7,22.3,85.0
34684333,NC_063032.1,2673613,24,22,83,23.3,22.2,84.8
34684334,NC_063032.1,2673614,22,22,82,23.1,22.1,84.8
34684335,NC_063032.1,2673615,21,21,82,23.0,21.8,84.5
34684336,NC_063032.1,2673616,21,20,84,22.9,21.7,84.1
34684337,NC_063032.1,2673617,21,22,84,22.8,21.6,83.8
34684338,NC_063032.1,2673618,23,22,85,22.8,21.5,83.5
34684339,NC_063032.1,2673619,24,20,84,22.7,21.5,83.7
34684340,NC_063032.1,2673620,24,22,83,22.9,21.5,84.0
34684341,NC_063032.1,2673621,24,22,84,23.2,21.7,84.4
34684342,NC_063032.1,2673622,24,22,84,23.6,21.9,84.6
34684343,NC_063032.1,2673623,23,22,85,24.0,22.0,84.7
34684344,NC_063032.1,2673624,24,22,85,24.2,22.0,84.9
34684345,NC_063032.1,2673625,24,23,86,24.3,22.2,85.4
34684346,NC_063032.1,2673626,25,22,86,24.4,22.2,85.8
34684347,NC_063032.1,2673627,25,23,85,24.5,22.2,86.2
34684348,NC_063032.1,2673628,25,22,87,24.5,22.1,86.0
34684349,NC_063032.1,2673629,25,22,89,24.7,22.1,86.3
34684350,NC_063032.1,2673630,25,22,87,24.9,22.1,86.8
34684351,NC_063032.1,2673631,25,22,88,24.7,21.4,84.4
34684352,NC_063032.1,2673632,24,21,82,24.7,21.4,84.4
34684353,NC_063032.1,2673633,25,22,88,24.6,21.3,84.8
34684354,NC_063032.1,2673634,26,22,90,24.5,21.4,84.9
34684355,NC_063032.1,2673635,22,16,62,24.4,21.5,84.8
34684356,NC_063032.1,2673636,25,22,86,24.3,21.6,84.8
34684357,NC_063032.1,2673637,24,22,89,24.4,21.7,84.5
34684358,NC_063032.1,2673638,24,23,88,24.6,21.9,85.1
34684359,NC_063032.1,2673639,24,23,88,24.6,22.1,84.5
34684360,NC_063032.1,2673640,24,23,87,24.6,22.3,84.3
34684361,NC_063032.1,2673641,26,23,85,25.0,23.1,86.9
34684362,NC_063032.1,2673642,26,23,88,25.1,23.3,87.1
34684363,NC_063032.1,2673643,25,24,82,25.3,23.5,86.5
34684364,NC_063032.1,2673644,26,24,88,25.5,23.6,86.2
34684365,NC_063032.1,2673645,26,24,88,25.6,23.7,86.0
34684366,NC_063032.1,2673646,26,24,88,25.9,23.8,86.2
34684367,NC_063032.1,2673647,26,24,83,26.0,23.9,86.7
34684368,NC_063032.1,2673648,26,24,85,26.0,24.0,86.3
34684369,NC_063032.1,2673649,25,24,86,26.2,23.9,86.6
34684370,NC_063032.1,2673650,27,24,89,26.4,23.9,86.9
34684371,NC_063032.1,2673651,27,24,90,26.6,23.8,86.8
34684372,NC_063032.1,2673652,26,24,84,26.4,23.3,84.7
34684373,NC_063032.1,2673653,27,23,85,26.7,23.2,85.2
34684374,NC_063032.1,2673654,28,24,91,27.0,23.1,85.6
34684375,NC_063032.1,2673655,28,23,87,27.4,22.9,85.9
34684376,NC_063032.1,2673656,24,19,67,27.6,22.7,85.8
34684377,NC_063032.1,2673657,29,23,88,27.8,22.5,85.5
34684378,NC_063032.1,2673658,29,23,89,28.1,22.3,85.7
34684379,NC_063032.1,2673659,29,22,89,28.3,22.3,86.0
34684380,NC_063032.1,2673660,29,22,88,28.0,21.9,84.1
34684381,NC_063032.1,2673661,29,22,87,28.2,22.0,84.1
34684382,NC_063032.1,2673662,29,22,86,28.9,22.5,86.1
34684383,NC_063032.1,2673663,29,23,88,29.0,22.6,85.7
34684384,NC_063032.1,2673664,25,20,72,29.1,22.7,85.1
34684385,NC_063032.1,2673665,30,24,87,29.0,22.8,84.5
34684386,NC_063032.1,2673666,31,24,87,29.4,23.0,84.3
34684387,NC_063032.1,2673667,30,24,84,29.8,23.2,84.0
34684388,NC_063032.1,2673668,30,24,83,30.2,23.4,84.0
34684389,NC_063032.1,2673669,28,23,83,30.7,23.4,83.9
34684390,NC_063032.1,2673670,33,24,86,31.5,23.7,83.8
34684391,NC_063032.1,2673671,33,24,84,31.9,23.7,83.5
34684392,NC_063032.1,2673672,33,24,86,32.2,23.8,83.5
34684393,NC_063032.1,2673673,34,23,87,32.6,24.0,83.7
34684394,NC_063032.1,2673674,33,23,71,32.9,24.1,83.8
34684395,NC_063032.1,2673675,34,24,84,33.5,24.3,84.3
34684396,NC_063032.1,2673676,34,25,87,33.6,24.5,84.6
34684397,NC_063032.1,2673677,34,26,86,33.7,24.8,85.1
34684398,NC_063032.1,2673678,33,25,84,33.8,25.1,85.6
34684399,NC_063032.1,2673679,34,25,88,33.8,25.5,86.0
34684400,NC_063032.1,2673680,34,26,89,33.9,25.9,87.9
34684401,NC_063032.1,2673681,34,27,89,33.9,26.2,88.4
34684402,NC_063032.1,2673682,34,27,91,33.9,26.4,88.7
34684403,NC_063032.1,2673683,34,27,91,33.9,26.5,88.9
34684404,NC_063032.1,2673684,34,27,90,33.9,26.5,89.3
34684405,NC_063032.1,2673685,34,27,89,33.8,26.5,89.2
34684406,NC_063032.1,2673686,34,27,90,33.8,26.6,88.9
34684407,NC_063032.1,2673687,34,27,88,33.9,26.5,88.8
34684408,NC_063032.1,2673688,33,25,88,34.1,26.3,88.5
34684409,NC_063032.1,2673689,33,25,87,34.3,26.2,88.2
34684410,NC_063032.1,2673690,34,27,86,34.5,26.1,87.8
34684411,NC_063032.1,2673691,35,26,88,34.7,26.0,88.0
34684412,NC_063032.1,2673692,36,25,88,34.9,25.9,87.9
34684413,NC_063032.1,2673693,36,26,88,35.1,25.8,88.2
34684414,NC_063032.1,2673694,36,26,86,35.4,25.9,88.4
34684415,NC_063032.1,2673695,36,26,91,35.6,26.0,88.3
34684416,NC_063032.1,2673696,36,26,89,35.8,25.9,88.6
34684417,NC_063032.1,2673697,36,26,91,35.9,25.9,88.5
34684418,NC_063032.1,2673698,36,26,90,35.9,26.1,88.6
34684419,NC_063032.1,2673699,35,26,86,35.9,26.2,88.9
34684420,NC_063032.1,2673700,36,26,89,35.7,26.4,89.4
34684421,NC_063032.1,2673701,36,26,87,35.6,26.9,89.6
34684422,NC_063032.1,2673702,36,27,89,35.5,27.4,90.1
34684423,NC_063032.1,2673703,36,27,91,35.4,28.0,90.5
34684424,NC_063032.1,2673704,34,28,91,35.3,28.6,90.8
34684425,NC_063032.1,2673705,35,31,93,35.1,29.2,91.1
34684426,NC_063032.1,2673706,35,31,94,34.8,29.7,91.2
34684427,NC_063032.1,2673707,35,32,95,34.7,30.2,92.0
34684428,NC_063032.1,2673708,35,32,93,34.6,30.5,92.6
34684429,NC_063032.1,2673709,33,32,89,34.6,30.9,93.0
34684430,NC_063032.1,2673710,33,31,90,34.8,31.3,93.4
34684431,NC_063032.1,2673711,35,31,95,34.9,31.4,93.5
34684432,NC_063032.1,2673712,35,30,95,35.0,31.5,93.6
34684433,NC_063032.1,2673713,36,31,95,35.1,31.5,93.4
34684434,NC_063032.1,2673714,36,32,95,35.2,31.6,93.4
34684435,NC_063032.1,2673715,36,32,94,35.5,31.7,93.8
34684436,NC_063032.1,2673716,36,32,95,35.9,31.9,94.1
34684437,NC_063032.1,2673717,36,32,93,36.1,32.1,93.8
34684438,NC_063032.1,2673718,36,33,93,36.2,32.4,93.7
34684439,NC_063032.1,2673719,36,33,93,36.2,32.6,93.5
34684440,NC_063032.1,2673720,37,33,93,36.2,32.7,93.5
34684441,NC_063032.1,2673721,37,33,92,36.2,32.7,93.1
34684442,NC_063032.1,2673722,36,33,94,36.2,32.8,92.7
34684443,NC_063032.1,2673723,36,33,93,36.3,32.9,92.6
34684444,NC_063032.1,2673724,36,33,95,36.4,32.9,92.4
34684445,NC_063032.1,2673725,36,32,90,36.5,33.0,91.9
34684446,NC_063032.1,2673726,36,33,91,36.5,33.2,91.7
34684447,NC_063032.1,2673727,37,33,92,36.5,33.4,91.6
34684448,NC_063032.1,2673728,37,33,91,36.5,33.6,91.1
34684449,NC_063032.1,2673729,37,34,88,36.6,33.7,90.6
34684450,NC_063032.1,2673730,37,35,91,36.7,33.7,89.1
34684451,NC_063032.1,2673731,37,35,91,36.9,33.9,89.0
34684452,NC_063032.1,2673732,36,35,89,37.1,34.0,89.1
34684453,NC_063032.1,2673733,37,34,88,37.3,34.0,89.0
34684454,NC_063032.1,2673734,37,33,80,37.5,34.1,89.0
34684455,NC_063032.1,2673735,38,34,89,37.7,34.2,89.3
34684456,NC_063032.1,2673736,38,34,92,37.9,34.2,89.3
34684457,NC_063032.1,2673737,39,33,91,38.1,34.3,89.2
34684458,NC_063032.1,2673738,39,34,91,38.4,34.4,89.4
34684459,NC_063032.1,2673739,39,35,91,38.6,34.6,89.6
34684460,NC_063032.1,2673740,39,35,91,38.7,34.9,90.3
34684461,NC_063032.1,2673741,39,36,90,38.7,35.1,90.1
34684462,NC_063032.1,2673742,39,36,91,38.9,35.3,89.9
34684463,NC_063032.1,2673743,39,36,90,39.0,35.6,89.8
34684464,NC_063032.1,2673744,38,36,87,39.0,35.8,89.6
34684465,NC_063032.1,2673745,38,36,87,39.1,35.9,89.5
34684466,NC_063032.1,2673746,40,36,90,39.2,36.0,89.4
34684467,NC_063032.1,2673747,40,36,90,39.3,36.0,89.1
34684468,NC_063032.1,2673748,39,36,89,39.4,36.0,88.9
34684469,NC_063032.1,2673749,40,36,90,39.5,36.0,88.8
34684470,NC_063032.1,2673750,40,36,90,39.7,36.0,89.2
34684471,NC_063032.1,2673751,40,36,87,39.8,35.9,89.6
34684472,NC_063032.1,2673752,40,36,89,39.7,35.8,89.4
34684473,NC_063032.1,2673753,40,36,89,39.6,35.8,89.3
34684474,NC_063032.1,2673754,40,36,91,39.6,35.9,89.4
34684475,NC_063032.1,2673755,39,35,91,39.5,36.1,89.3
34684476,NC_063032.1,2673756,39,35,88,39.3,36.3,89.2
34684477,NC_063032.1,2673757,39,36,89,39.2,36.5,89.5
34684478,NC_063032.1,2673758,39,37,90,39.1,36.6,89.6
34684479,NC_063032.1,2673759,39,38,89,38.9,36.6,89.3
34684480,NC_063032.1,2673760,38,38,89,38.4,36.4,87.7
34684481,NC_063032.1,2673761,39,38,90,37.8,36.2,86.0
34684482,NC_063032.1,2673762,39,37,90,37.6,36.5,86.0
34684483,NC_063032.1,2673763,38,36,86,37.5,36.7,85.8
34684484,NC_063032.1,2673764,35,34,75,37.5,36.7,85.7
34684485,NC_063032.1,2673765,33,33,74,37.5,36.6,85.7
34684486,NC_063032.1,2673766,37,38,88,37.7,36.4,85.6
34684487,NC_063032.1,2673767,38,38,87,37.8,36.2,85.5
34684488,NC_063032.1,2673768,39,37,89,37.9,36.0,85.4
34684489,NC_063032.1,2673769,39,37,89,38.1,36.0,85.7
34684490,NC_063032.1,2673770,40,36,88,38.6,36.2,86.9
34684491,NC_063032.1,2673771,40,36,89,39.4,36.5,88.4
34684492,NC_063032.1,2673772,40,35,89,39.8,36.3,88.3
34684493,NC_063032.1,2673773,40,36,89,40.1,36.1,88.6
34684494,NC_063032.1,2673774,40,36,87,40.3,36.0,88.5
34684495,NC_063032.1,2673775,41,36,89,40.5,35.8,88.2
34684496,NC_063032.1,2673776,41,36,87,40.6,35.8,88.1
34684497,NC_063032.1,2673777,41,36,90,40.7,35.7,87.8
34684498,NC_063032.1,2673778,41,36,88,40.7,35.6,87.6
34684499,NC_063032.1,2673779,41,35,86,40.8,35.4,87.4
